id,mental_time,pointing_time,typing_time,date
2,,2.052163,,20/02/2021 19:10:25
2,,0.1557675,,20/02/2021 19:10:26
2,,0.1330754,,20/02/2021 19:10:27
2,,0.7499753,,20/02/2021 19:10:28
2,0.200295,,,20/02/2021 19:10:29
2,,0.2993307,,20/02/2021 19:10:29
2,,0.1184579,,20/02/2021 19:10:29
2,,0.1624328,,20/02/2021 19:10:34
2,,0.1924769,,20/02/2021 19:10:35
2,,0.2752829,,20/02/2021 19:11:10
1,0.3683825,,,20/02/2021 19:15:05
1,,1.06126,,20/02/2021 19:15:06
1,,2.249222,,20/02/2021 19:15:08
1,,0.3396901,,20/02/2021 19:15:10
1,,0.1740064,,20/02/2021 19:15:10
1,,0.01673848,,20/02/2021 19:15:10
1,0.4921666,,,20/02/2021 19:15:11
1,,,,20/02/2021 19:15:11
1,,0.2262863,,20/02/2021 19:15:11
1,,0.1101714,,20/02/2021 19:15:14
1,,0.4603294,,20/02/2021 19:15:14
1,,0.6667224,,20/02/2021 19:17:35
1,,0.02934255,,20/02/2021 19:17:35
1,,0.1776753,,20/02/2021 19:17:36
1,,0.1340536,,20/02/2021 19:17:36
1,,0.4509245,,20/02/2021 19:17:41
1,,0.982118,,20/02/2021 19:17:49
1,,1.305352,,20/02/2021 19:17:51
1,0.8077894,,,20/02/2021 19:17:52
1,0.1274023,,,20/02/2021 19:17:53
1,,0.4705866,,20/02/2021 19:17:53
1,0.3000453,,,20/02/2021 19:17:54
1,,0.2515718,,20/02/2021 19:17:54
1,,0.1820789,,20/02/2021 19:17:55
1,,0.432865,,20/02/2021 19:17:57
4,0.4076283,,,20/02/2021 19:17:58
4,0.0882535,,,20/02/2021 19:17:59
4,,0.06149461,,20/02/2021 19:17:59
4,,0.06430777,,20/02/2021 19:17:59
4,,0.3967915,,20/02/2021 19:18:00
4,,0.1048802,,20/02/2021 19:18:01
4,,0.1784939,,20/02/2021 19:18:01
4,,0.08718362,,20/02/2021 19:18:03
4,0.5321079,,,20/02/2021 19:18:05
4,,0.6568556,,20/02/2021 19:18:06
4,0.5239612,,,20/02/2021 19:18:07
4,,0.6380612,,20/02/2021 19:18:08
4,0.415969,,,20/02/2021 19:18:08
4,,1.534184,,20/02/2021 19:18:10
4,,1.486068,,20/02/2021 19:18:12
4,,0.5322054,,20/02/2021 19:18:12
0,0.5719087,,,20/02/2021 19:19:26
0,,0.4595277,,20/02/2021 19:19:27
0,1.368508,,,20/02/2021 19:19:53
0,,0.1488354,,20/02/2021 19:19:53
0,,0.1461501,,20/02/2021 19:19:54
0,,0.2011628,,20/02/2021 19:19:55
0,,0.1105296,,20/02/2021 19:19:56
0,,1.112189,,20/02/2021 19:19:58
0,0.5317741,,,20/02/2021 19:19:59
0,,0.5318869,,20/02/2021 19:20:00
0,,0.2954827,,20/02/2021 19:20:00
0,0.07931937,,,20/02/2021 19:20:02
0,,1.298299,,20/02/2021 19:20:03
0,,0.09162553,,20/02/2021 19:20:03
0,,0.08769308,,20/02/2021 19:20:04
0,,,,20/02/2021 19:20:05
0,,0.7163857,,20/02/2021 19:20:07
0,0.2603601,,,20/02/2021 19:20:07
0,,0.4046384,,20/02/2021 19:20:08
0,,0.2165677,,20/02/2021 19:20:08
0,0.5517688,,,20/02/2021 23:15:29
0,,0.7855647,,20/02/2021 23:15:30
0,,1.114716,,20/02/2021 23:15:33
0,,0.2927103,,20/02/2021 23:15:34
0,0.8954709,,,20/02/2021 23:16:28
0,,0.1290302,,20/02/2021 23:16:29
0,2.068925,,,20/02/2021 23:17:13
0,,1.766062,,20/02/2021 23:17:15
0,,0.256472,,20/02/2021 23:17:17
0,,0.2298424,,20/02/2021 23:17:18
0,4.942713,,,20/02/2021 23:17:49
0,,0.1195487,,20/02/2021 23:17:49
0,,1.772781,,20/02/2021 23:17:53
0,,0.2110572,,20/02/2021 23:17:54
0,,,,20/02/2021 23:17:57
0,,0.09890842,,20/02/2021 23:17:58
0,,6.315293,,20/02/2021 23:18:05
0,,1.066779,,20/02/2021 23:18:07
0,,0.9905614,,20/02/2021 23:18:19
0,,,,20/02/2021 23:18:21
0,,0.4405253,,20/02/2021 23:18:28
0,,0.6916461,,20/02/2021 23:18:36
0,1.020412,,,21/02/2021 00:05:04
0,,0.5472436,,21/02/2021 00:05:05
0,,0.3163454,,21/02/2021 00:05:06
0,,1.148037,,21/02/2021 00:05:09
0,5.052232,,,21/02/2021 00:05:40
